"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930167597.765363","1015642458.10056","1125139664.80447","1203910614.52514","1271508379.88827","1326256983.24022","1427374301.67598","1505586592.17877","1587709497.2067","1664804469.27374","1767039106.14525","1869273743.01676","2043575418.99441","2120670391.06145","2054189944.13408","2094413407.82123","2230167597.76536","2294972067.03911","2322346368.71508","2304469273.74302","2275418994.41341","2191061452.51397","2240223463.68715","","",
"Afghanistan","AFG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444444","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","5357802447.19804","6661294846.62264","7299328671.82151","8305605022.06252","9033170563.59435","12449212095.4801","13094181353.5296","14136206462.6335","18162502089.5197","19452418367.9231","19794932085.4404","19660709471.8248","19499326022.3662","19320213869.0493","18403410552.6653","18746901733.0497","","",
"Angola","AGO","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3896714485.84334","6171664555.55606","9268944319.11638","11543958083.9688","13171613116.371","17739329570.8652","23251227788.1398","30360597136.3425","40382989442.0351","43668255685.8721","44279734274.3704","58374626097.0375","68191034640.9268","80897777871.1395","90986199538.3633","80379086228.0497","70692122430.8979","85631168586.5137","","",
"Albania","ALB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","1350489534.15412","1365198182.30357","1510787487.5","1545825025","1571774975","1659124975","1660736837.5","1287582611.11111","1218994125.21241","1641562844.33558","2178257001.18258","2522368078.96653","3314541301.39169","2447593796.86435","2684992193.70204","3134797248.37075","3216796289.09505","3484217875.53947","3972822134.12836","5130526831.74818","6352358416.1386","7083949882.99825","7841920871.24401","9849228611.966","12040547663.3776","11077316244.4816","10646800832.0473","11508140740.3737","10941409960.3825","11633425792.122","12201633118.1882","10453817378.1049","10939770212.718","11879922787.379","13710731443.5147","",
"Andorra","AND","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","21838356609.5729","24101778690.7994","27224358506.5896","30405893898.8493","35202335121.7139","41582782997.2012","53413741766.7428","73466250723.5652","89446116725.6254","113136906353.489","134855343982.642","166053325492.609","196911968870.826","226258122138.393","255253454480.569","263395412798.499","270847447730.847","276632045290.904","283847769545.121","295816257393.362","289703978512.773","315240732628.948","362255526354.964","372248167458.831","384690036154.539","393751485135.417","394002055079.457","419537524576.865","452204041944.69","479785243051.95","488531787231.748","495970472972.84","511202743532.435","515604557549.995","520900483244.13","554312606598.374","619529893491.539","696871288659.435","804800606373.025","956052907988.762","1141341563225.87","1175769885456.7","1257203062492.01","1408035199252.2","1564735429311.42","1720050633418.47","1858881083395.26","1852660967487.31","1855337043780.19","1848208975983.08","1889045266403.76","",
"United Arab Emirates","ARE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71329996957.6172","78539648954.7295","84958535257.0995","102750490054.053","115984196513.349","139810327946.169","172367350924.864","207202731426.29","158522245821.665","151590257137.839","169450837447.708","156744390192.058","175137618522.894","190170741913.9","171220531265.591","173924313740.037","192390861159.862","214030270026.106","",
"Argentina","ARG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","19376160455.8394","14985585096.2044","19434576526.3572","21399411627.8305","22272856090.9355","18504546348.9467","20416857848.8503","23757715275.0245","23591580209.0682","25465199608.0031","26309749588.8786","40565554072.2585","55867666353.7087","37081352153.5353","33780449868.9763","37911999742.129","40255409215.8497","51220430880.779","58617235878.9537","61178949170.177","63800156037.9318","78812915074.4254","61061001542.5307","68035001718.7087","89524443087.2662","89049048325.9559","98492044685.2822","59781714319.5528","113470334123.038","158920813529.103","194086408742.176","195824084384.384","213955318800","211354437000","220510438000","238353211100","243786711100","237777915000","236219366100","223201711200","72446391952.7293","95225639004.8535","124228047654.606","149393165256.55","176044924181.393","217144640947.557","277344288863.729","262658658519.665","336350991663.692","423649649448.919","445242277160.302","457042608919.298","433334542562.24","499614480942.488","464849978689.813","539740213648.741","421998288517.53","",
"Armenia","ARM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510390863.9086","1567812798.63145","1434054772.20166","1328486812.91299","1391840167.85252","1724545303.18269","1783081307.99853","1881082324.74273","2104878097.12587","1998198342.01475","2082374154.28808","2220920260.8727","2354275747.79803","2624341275.46348","3313688255.69407","4216804107.78635","5257011097.96068","7531138265.97416","9539453945.39454","8103802184.13563","8803574367.64122","9780274356.38411","10414812427.1961","11021996422.5877","11334720299.4423","9623769585.72208","9570667084.01996","10645440262.647","11522274581.2543","",
"American Samoa","ASM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
